,X,Y,Z,Cluster,ClusterZ
129207,-7.6470833042129,33.495416725475195,1730.0677490234375,3,0
129208,-7.638749970912899,33.495416725475195,5295.60205078125,0,3
129209,-7.630416637612899,33.495416725475195,6271.841796875,0,3
129210,-7.622083304312899,33.495416725475195,3017.427978515625,3,0
129211,-7.613749971012899,33.495416725475195,2624.0146484375,3,0
129212,-7.605416637712899,33.495416725475195,3094.98974609375,3,0
129213,-7.597083304412899,33.495416725475195,1716.2762451171875,3,0
129214,-7.588749971112899,33.495416725475195,1074.6270751953125,3,0
129215,-7.580416637812899,33.495416725475195,698.5122680664064,3,0
129216,-7.5720833045128995,33.495416725475195,549.529052734375,3,0
129217,-7.563749971212901,33.495416725475195,591.6494140625,3,0
129218,-7.5554166379128995,33.495416725475195,428.06655883789057,3,0
129219,-7.5470833046129,33.495416725475195,1100.948486328125,3,0
129220,-7.5387499713129,33.495416725475195,1162.0252685546875,3,0
129221,-7.530416638012899,33.495416725475195,769.31787109375,3,0
129222,-7.522083304712899,33.495416725475195,545.9058227539064,3,0
129223,-7.513749971412899,33.495416725475195,566.7077026367188,3,0
129224,-7.505416638112899,33.495416725475195,841.2682495117188,3,0
129225,-7.497083304812899,33.495416725475195,581.9078979492188,3,0
129226,-7.488749971512899,33.495416725475195,265.5628967285156,3,0
129227,-7.480416638212899,33.495416725475195,163.11618041992188,3,0
129228,-7.472083304912899,33.495416725475195,366.8338012695313,3,0
129229,-7.463749971612899,33.495416725475195,486.2678833007813,3,0
129230,-7.455416638312901,33.495416725475195,270.1844177246094,3,0
129231,-7.4470833050128995,33.495416725475195,159.73243713378906,3,0
129232,-7.438749971712901,33.495416725475195,98.64408874511719,3,0
129233,-7.4304166384129,33.495416725475195,92.79437255859376,3,0
129234,-7.422083305112899,33.495416725475195,135.3998870849609,3,0
129235,-7.4137499718129,33.495416725475195,81.35694885253906,3,0
129954,-7.738749970512899,33.487083392175194,758.75244140625,3,0
129955,-7.730416637212899,33.487083392175194,771.8104858398436,3,0
129956,-7.722083303912899,33.487083392175194,623.438720703125,3,0
129957,-7.713749970612899,33.487083392175194,572.020263671875,3,0
129958,-7.705416637312899,33.487083392175194,546.5450439453125,3,0
129959,-7.697083304012899,33.487083392175194,631.7736206054688,3,0
129960,-7.688749970712899,33.487083392175194,827.5911254882812,3,0
129961,-7.6804166374128995,33.487083392175194,1853.880126953125,3,0
129962,-7.672083304112901,33.487083392175194,1493.115478515625,3,0
129963,-7.6637499708128995,33.487083392175194,731.5242919921875,3,0
129964,-7.655416637512899,33.487083392175194,748.310302734375,3,0
129965,-7.6470833042129,33.487083392175194,825.7067260742188,3,0
129966,-7.638749970912899,33.487083392175194,2094.33935546875,3,0
129967,-7.630416637612899,33.487083392175194,3097.3046875,3,0
129968,-7.622083304312899,33.487083392175194,2272.137939453125,3,0
129969,-7.613749971012899,33.487083392175194,2011.8702392578125,3,0
129970,-7.605416637712899,33.487083392175194,2495.989990234375,3,0
129971,-7.597083304412899,33.487083392175194,2245.556640625,3,0
129972,-7.588749971112899,33.487083392175194,2458.206787109375,3,0
129973,-7.580416637812899,33.487083392175194,2028.6497802734373,3,0
129974,-7.5720833045128995,33.487083392175194,698.3851318359375,3,0
129975,-7.563749971212901,33.487083392175194,373.13967895507807,3,0
129976,-7.5554166379128995,33.487083392175194,466.61770629882807,3,0
129977,-7.5470833046129,33.487083392175194,786.0841674804686,3,0
129978,-7.5387499713129,33.487083392175194,1367.16015625,3,0
129979,-7.530416638012899,33.487083392175194,810.5545654296875,3,0
129980,-7.522083304712899,33.487083392175194,667.4357299804688,3,0
129981,-7.513749971412899,33.487083392175194,553.9198608398438,3,0
129982,-7.505416638112899,33.487083392175194,373.6486511230469,3,0
129983,-7.497083304812899,33.487083392175194,148.5194854736328,3,0
129984,-7.488749971512899,33.487083392175194,101.60702514648436,3,0
129985,-7.480416638212899,33.487083392175194,135.4761199951172,3,0
129986,-7.472083304912899,33.487083392175194,237.0398101806641,3,0
129987,-7.463749971612899,33.487083392175194,276.90289306640625,3,0
129988,-7.455416638312901,33.487083392175194,219.8291931152344,3,0
129989,-7.4470833050128995,33.487083392175194,138.7714080810547,3,0
129990,-7.438749971712901,33.487083392175194,63.75928497314453,3,0
129991,-7.4304166384129,33.487083392175194,48.64373779296875,3,0
129992,-7.422083305112899,33.487083392175194,74.74862670898438,3,0
129993,-7.4137499718129,33.487083392175194,43.70890426635742,3,0
130716,-7.738749970512899,33.4787500588752,325.2767944335937,3,0
130717,-7.730416637212899,33.4787500588752,263.17291259765625,3,0
130718,-7.722083303912899,33.4787500588752,251.1704559326172,3,0
130719,-7.713749970612899,33.4787500588752,392.4767456054688,3,0
130720,-7.705416637312899,33.4787500588752,644.1958618164064,3,0
130721,-7.697083304012899,33.4787500588752,773.7306518554686,3,0
130722,-7.688749970712899,33.4787500588752,899.54541015625,3,0
130723,-7.6804166374128995,33.4787500588752,1822.6209716796875,3,0
130724,-7.672083304112901,33.4787500588752,1425.11474609375,3,0
130725,-7.6637499708128995,33.4787500588752,1185.002685546875,3,0
130726,-7.655416637512899,33.4787500588752,1220.6961669921875,3,0
130727,-7.6470833042129,33.4787500588752,1582.8551025390625,3,0
130728,-7.638749970912899,33.4787500588752,2632.486572265625,3,0
130729,-7.630416637612899,33.4787500588752,1934.30908203125,3,0
130730,-7.622083304312899,33.4787500588752,2206.16015625,3,0
130731,-7.613749971012899,33.4787500588752,1166.41943359375,3,0
130732,-7.605416637712899,33.4787500588752,1577.1865234375,3,0
130733,-7.597083304412899,33.4787500588752,1988.554443359375,3,0
130734,-7.588749971112899,33.4787500588752,1492.0584716796875,3,0
130735,-7.580416637812899,33.4787500588752,895.0071411132812,3,0
130736,-7.5720833045128995,33.4787500588752,443.5192565917969,3,0
130737,-7.563749971212901,33.4787500588752,657.7784423828125,3,0
130738,-7.5554166379128995,33.4787500588752,971.9779663085936,3,0
130739,-7.5470833046129,33.4787500588752,660.741943359375,3,0
130740,-7.5387499713129,33.4787500588752,799.6819458007811,3,0
130741,-7.530416638012899,33.4787500588752,966.9855346679688,3,0
130742,-7.522083304712899,33.4787500588752,472.4241333007813,3,0
130743,-7.513749971412899,33.4787500588752,356.3733215332031,3,0
130744,-7.505416638112899,33.4787500588752,236.4990234375,3,0
130745,-7.497083304812899,33.4787500588752,134.1774139404297,3,0
130746,-7.488749971512899,33.4787500588752,119.82225799560545,3,0
130747,-7.480416638212899,33.4787500588752,116.53105163574217,3,0
